Temp,Pressure (kPa),v,u,h,s,state
1300,3000,0.24206,4676.63,5402.81,8.9442,superheated
1300,4000,0.18156,4674.29,5400.52,8.8099,superheated
1300,5000,0.14526,4671.96,5398.24,8.7055,superheated
1300,6000,0.12106,4669.64,5395.97,8.6199,superheated
1300,8000,0.0908,4665.02,5391.46,8.4842,superheated
1300,10000,0.07265,4660.44,5386.99,8.3783,superheated
1300,15000,0.04845,4649.12,5375.94,8.1839,superheated
1300,20000,0.03636,4637.95,5365.1,8.0441,superheated
1300,30000,0.024266,4615.96,5343.95,7.8432,superheated
1300,40000,0.018229,4594.28,5323.45,7.6969,superheated
99.62,100,1.694,2506.06,2675.46,7.3593,saturated
0.01,500,0.000999,0.01,0.51,0,liquid
20,500,0.001002,83.91,84.41,0.2965,liquid
40,500,0.001008,167.47,167.98,0.5722,liquid
60,500,0.001017,251,251.51,0.8308,liquid
80,500,0.001029,334.73,335.24,1.0749,liquid
100,500,0.001043,418.8,419.32,1.3065,liquid
120,500,0.00106,503.37,503.9,1.5273,liquid
140,500,0.00108,588.66,589.2,1.7389,liquid
0.01,2000,0.000999,0.03,2.03,0.0001,liquid
20,2000,0.001001,83.82,85.82,0.2962,liquid
40,2000,0.001007,167.29,169.3,0.5716,liquid
60,2000,0.001016,250.73,252.77,0.83,liquid
80,2000,0.001028,334.38,336.44,1.0739,liquid
100,2000,0.001043,418.36,420.45,1.3053,liquid
120,2000,0.001059,502.84,504.96,1.5259,liquid
140,2000,0.001079,588.02,590.18,1.7373,liquid
151.86,500,0.001093,639.66,640.21,1.8606,liquid
212.42,2000,0.001177,906.42,908.77,2.4473,liquid
160,2000,0.001101,674.14,676.34,1.941,liquid
180,2000,0.001127,761.46,763.71,2.1382,liquid
200,2000,0.001156,850.3,852.61,2.3301,liquid
263.99,5000,0.001286,1147.78,1154.21,2.9201,liquid
0,5000,0.000998,0.03,5.02,0.0001,liquid
20,5000,0.001,83.64,88.64,0.2955,liquid
40,5000,0.001006,166.93,171.95,0.5705,liquid
60,5000,0.001015,250.21,255.28,0.8284,liquid
80,5000,0.001027,333.69,338.83,1.0719,liquid
100,5000,0.001041,417.5,422.71,1.303,liquid
120,5000,0.001058,501.79,507.07,1.5232,liquid
140,5000,0.001077,586.74,592.13,1.7342,liquid
160,5000,0.001099,672.61,678.1,1.9374,liquid
180,5000,0.001124,759.62,765.24,2.1341,liquid
200,5000,0.001153,848.08,853.85,2.3254,liquid
220,5000,0.001187,938.43,944.36,2.5128,liquid
240,5000,0.001226,1031.34,1037.47,2.6978,liquid
260,5000,0.001275,1127.92,1134.3,2.8829,liquid
311.06,10000,0.001452,1393,1407.53,3.3595,liquid
0,10000,0.000995,0.1,10.05,0.0003,liquid
20,10000,0.000997,83.35,93.32,0.2945,liquid
40,10000,0.001003,166.33,176.36,0.5685,liquid
60,10000,0.001013,249.34,259.47,0.8258,liquid
80,10000,0.001025,332.56,342.81,1.0687,liquid
100,10000,0.001039,416.09,426.48,1.2992,liquid
120,10000,0.001055,500.07,510.61,1.5188,liquid
140,10000,0.001074,584.67,595.4,1.7291,liquid
160,10000,0.001195,670.11,681.07,1.9316,liquid
180,10000,0.00112,756.63,767.83,2.1274,liquid
200,10000,0.001148,844.49,855.97,2.3178,liquid
220,10000,0.001181,934.07,945.88,2.5038,liquid
240,10000,0.001219,1025.94,1038.13,2.6872,liquid
260,10000,0.001265,1121.03,1133.68,2.8698,liquid
280,10000,0.001322,1220.9,1234.11,3.0547,liquid
300,10000,0.001397,1328.34,1342.31,3.2468,liquid
342.24,15000,0.001658,1585.58,1610.45,3.6847,liquid
0,15000,0.000993,0.15,15.04,0.0004,liquid
20,15000,0.000995,83.05,97.97,0.2934,liquid
40,15000,0.001001,165.73,180.75,0.5665,liquid
60,15000,0.001011,248.49,263.65,0.8231,liquid
80,15000,0.001022,331.46,346.79,1.0655,liquid
100,15000,0.001036,414.72,430.26,1.2954,liquid
120,15000,0.001052,498.39,514.17,1.5144,liquid
140,15000,0.001071,582.64,598.7,1.7241,liquid
160,15000,0.001092,667.69,684.07,1.9259,liquid
180,15000,0.001116,753.74,770.48,2.1209,liquid
200,15000,0.001143,841.04,858.18,2.3103,liquid
220,15000,0.001175,929.89,947.52,2.4952,liquid
240,15000,0.001211,1020.82,1038.99,2.677,liquid
260,15000,0.001255,1114.59,1133.41,2.8575,liquid
280,15000,0.001308,1212.47,1232.09,3.0392,liquid
300,15000,0.001377,1316.58,1337.23,3.2259,liquid
320,15000,0.001472,1431.05,1453.13,3.4246,liquid
340,15000,0.001631,1567.42,1591.88,3.6545,liquid
365.81,20000,0.002035,1785.47,1826.18,4.0137,liquid
0,20000,0.00099,0.2,20,0.0004,liquid
20,20000,0.000993,82.75,102.61,0.2922,liquid
40,20000,0.000999,165.15,185.14,0.5646,liquid
60,20000,0.001008,247.66,267.82,0.8205,liquid
80,20000,0.00102,330.38,350.78,1.0623,liquid
100,20000,0.001034,413.37,434.04,1.2917,liquid
120,20000,0.00105,496.75,517.74,1.5101,liquid
140,20000,0.001068,580.67,602.03,1.7192,liquid
160,20000,0.001089,665.34,687.11,1.9203,liquid
180,20000,0.001112,750.94,773.18,2.1146,liquid
200,20000,0.001139,837.7,860.47,2.3031,liquid
220,20000,0.001169,925.89,949.27,2.4869,liquid
240,20000,0.001205,1015.94,1040.04,2.6673,liquid
260,20000,0.001246,1108.53,1133.45,2.8459,liquid
280,20000,0.001297,1204.69,1230.62,3.0248,liquid
300,20000,0.00136,1306.1,1333.29,3.2071,liquid
320,20000,0.001444,1415.66,1444.53,3.3978,liquid
340,20000,0.001568,1539.64,1571.01,3.6074,liquid
360,20000,0.001823,1702.78,1739.23,3.877,liquid
0,30000,0.000986,0.25,29.82,0.0001,liquid
20,30000,0.000989,82.16,111.82,0.2898,liquid
40,30000,0.000995,164.01,193.87,0.5606,liquid
60,30000,0.001004,246.03,276.16,0.8153,liquid
80,30000,0.001016,328.28,358.75,1.0561,liquid
100,30000,0.001029,410.76,441.63,1.2844,liquid
120,30000,0.001044,493.58,524.91,1.5017,liquid
140,30000,0.001062,576.86,608.73,1.7097,liquid
